name,price,description,category,imageUrl
Radiance Vitamin C Serum,1999,"Brightening serum with 10% vitamin C and hyaluronic acid.",Serums,https://images.pexels.com/photos/3738364/pexels-photo-3738364.jpeg?auto=compress&cs=tinysrgb&w=800
Hydra Balance Cleanser,1299,"Gentle foaming cleanser that removes impurities without stripping moisture.",Cleansers,https://images.pexels.com/photos/3738373/pexels-photo-3738373.jpeg?auto=compress&cs=tinysrgb&w=800
Cloud Dew Moisturizer,2299,"Lightweight gel-cream moisturizer for deep, all‑day hydration.",Moisturizers,https://images.pexels.com/photos/3738341/pexels-photo-3738341.jpeg?auto=compress&cs=tinysrgb&w=800
Overnight Recovery Mask,2499,"Nourishing overnight mask to repair and calm stressed skin.",Masks,https://images.pexels.com/photos/3738348/pexels-photo-3738348.jpeg?auto=compress&cs=tinysrgb&w=800
Daily Defense Sunscreen SPF 50,1899,"Broad spectrum SPF 50 with a sheer, non‑greasy finish.",Sunscreen,https://images.pexels.com/photos/3738349/pexels-photo-3738349.jpeg?auto=compress&cs=tinysrgb&w=800
Barrier Repair Serum,2199,"Ceramide-rich serum that strengthens the skin barrier.",Serums,https://images.pexels.com/photos/3738363/pexels-photo-3738363.jpeg?auto=compress&cs=tinysrgb&w=800
Purifying Gel Cleanser,1199,"Refreshing gel cleanser ideal for combination to oily skin.",Cleansers,https://images.pexels.com/photos/3738374/pexels-photo-3738374.jpeg?auto=compress&cs=tinysrgb&w=800
Silk Cream Moisturizer,2399,"Rich cream that softens and smooths dry or mature skin.",Moisturizers,https://images.pexels.com/photos/3738355/pexels-photo-3738355.jpeg?auto=compress&cs=tinysrgb&w=800
Hydrating Sheet Mask,699,"Single‑use sheet mask infused with aloe and panthenol.",Masks,https://images.pexels.com/photos/3738366/pexels-photo-3738366.jpeg?auto=compress&cs=tinysrgb&w=800
Ultra Light Sunscreen SPF 30,1699,"Weightless daily SPF 30 perfect under makeup.",Sunscreen,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=800
Niacinamide Pore Serum,2099,"10% niacinamide serum to refine pores and balance oil.",Serums,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=800
Creamy Milk Cleanser,1399,"Non‑foaming milk cleanser for dry and sensitive skin.",Cleansers,https://images.pexels.com/photos/3738369/pexels-photo-3738369.jpeg?auto=compress&cs=tinysrgb&w=800
Water Burst Gel Moisturizer,1999,"Cooling water‑gel moisturizer for normal to oily skin.",Moisturizers,https://images.pexels.com/photos/3738357/pexels-photo-3738357.jpeg?auto=compress&cs=tinysrgb&w=800
Glow Renewal Sleeping Mask,2599,"Overnight mask with lactic acid for smoother, brighter skin.",Masks,https://images.pexels.com/photos/3738361/pexels-photo-3738361.jpeg?auto=compress&cs=tinysrgb&w=800
Mineral Sunscreen SPF 50,2199,"100% mineral sunscreen suitable for sensitive skin.",Sunscreen,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=800
Peptide Firming Serum,2899,"Peptide concentrate to visibly firm and plump fine lines.",Serums,https://images.pexels.com/photos/3738367/pexels-photo-3738367.jpeg?auto=compress&cs=tinysrgb&w=800
Clarifying Foam Cleanser,1299,"Foam cleanser with salicylic acid for breakout‑prone skin.",Cleansers,https://images.pexels.com/photos/3738370/pexels-photo-3738370.jpeg?auto=compress&cs=tinysrgb&w=800
Comfort Cream Moisturizer,2199,"Fragrance‑free cream that soothes redness and irritation.",Moisturizers,https://images.pexels.com/photos/3738356/pexels-photo-3738356.jpeg?auto=compress&cs=tinysrgb&w=800
Vitamin C Brightening Mask,1899,"Rinse‑off mask that boosts radiance in 10 minutes.",Masks,https://images.pexels.com/photos/3738359/pexels-photo-3738359.jpeg?auto=compress&cs=tinysrgb&w=800
Invisible Fluid Sunscreen SPF 40,1999,"Clear, fast‑absorbing SPF 40 suitable for all skin tones.",Sunscreen,https://images.pexels.com/photos/3738368/pexels-photo-3738368.jpeg?auto=compress&cs=tinysrgb&w=800
