name,imageUrl,category,description,price
CeraVe Hydrating Cleanser,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Gentle foaming cleanser with ceramides and hyaluronic acid for normal to dry skin.,1299
The Ordinary Niacinamide 10% + Zinc,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,High-strength vitamin and mineral blemish formula that visibly refines skin texture.,899
La Roche-Posay Toleriane Double Repair Moisturizer,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Daily face moisturizer with ceramides and niacinamide for sensitive skin.,1899
Paula's Choice 2% BHA Liquid Exfoliant,https://images.pexels.com/photos/3735636/pexels-photo-3735636.jpeg?auto=compress&cs=tinysrgb&w=600,Exfoliator,Gentle leave-on exfoliant with salicylic acid to unclog pores and smooth skin.,2499
Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50,https://images.pexels.com/photos/3738352/pexels-photo-3738352.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,"Lightweight, non-greasy sunscreen with broad spectrum UVA/UVB protection.",999
Drunk Elephant C-Firma Vitamin C Day Serum,https://images.pexels.com/photos/3738355/pexels-photo-3738355.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Antioxidant-rich serum with 15% L-ascorbic acid to brighten and firm skin.,5499
Kiehl's Ultra Facial Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,24-hour hydration cream with squalane and glacial glycoprotein.,3299
Glow Recipe Watermelon Glow Niacinamide Dew Drops,https://images.pexels.com/photos/3738371/pexels-photo-3738371.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Lightweight serum with 5% niacinamide and watermelon extract for glowing skin.,2799
COSRX Advanced Snail 96 Mucin Power Essence,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Hydrating essence with 96% snail secretion filtrate to repair and soothe skin.,1899
First Aid Beauty Ultra Repair Cream,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,"Intensive repair cream with colloidal oatmeal for dry, distressed skin.",2299
The Inkey List Retinol Serum,https://images.pexels.com/photos/3738357/pexels-photo-3738357.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,1% stabilized retinol serum to reduce fine lines and improve skin texture.,999
Cetaphil Daily Facial Cleanser,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,"Mild, non-irritating cleanser for normal to oily skin.",799
Olay Regenerist Micro-Sculpting Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Anti-aging moisturizer with amino-peptides and niacinamide.,1999
Supergoop! Unseen Sunscreen SPF 40,https://images.pexels.com/photos/3738351/pexels-photo-3738351.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,"Invisible, weightless sunscreen that feels like a primer.",2999
Sunday Riley Good Genes All-In-One Lactic Acid Treatment,https://images.pexels.com/photos/3735639/pexels-photo-3735639.jpeg?auto=compress&cs=tinysrgb&w=600,Treatment,Exfoliating treatment with lactic acid to brighten and smooth skin.,5999
Clinique Dramatically Different Moisturizing Lotion+,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Hydrating lotion that strengthens skin's moisture barrier.,2499
Estée Lauder Advanced Night Repair Serum,https://images.pexels.com/photos/3738355/pexels-photo-3738355.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Anti-aging serum with hyaluronic acid to repair and hydrate overnight.,8999
Garnier Micellar Cleansing Water,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Gentle micellar water that removes makeup and cleanses without rinsing.,599
The Ordinary AHA 30% + BHA 2% Peeling Solution,https://images.pexels.com/photos/3735636/pexels-photo-3735636.jpeg?auto=compress&cs=tinysrgb&w=600,Treatment,Weekly exfoliating treatment with alpha and beta hydroxy acids.,1299
Laneige Water Bank Hyaluronic Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Intense hydration cream with hyaluronic acid and green mineral water.,2799
